"Site"	"Transcription-Units"	"Synonyms"
"ratAp"	"ratA"	
"rhaEWp"	"rhaEWRBMA"	
"rnjBp"	"rnjB"	
"rpmEBp"	"rpmEB"	
"rpmEBp2"	"rpmEB"	
"rpmH-TR1"	"rpmH"	
"rpmH-TR2"	"rpmH"	
"rpoEp"	"rpoE"	
"rpoYp"	"rpoY-rnjA"	"ykzG-rnjA"
"rpsFp"	"rpsF-ssbA-rpsR"	
"rpsNBp"	"rpsNB"	
"rrnA-P1"	"rrnA-16S-trnA-Ile-trnA-Ala-rrnA-23S-rrnA-5S"	
"rrnA-P2"	"rrnA-16S-trnA-Ile-trnA-Ala-rrnA-23S-rrnA-5S"	
"rrnB-P1"	"trnB"	
"rrnB-P2"	"trnB"	
"rrnO-P1"	"rrnO-16S-trnO-Ile-trnO-Ala-rrnO-23S-rrnO-5S"	
"rrnO-P2"	"rrnO-16S-trnO-Ile-trnO-Ala-rrnO-23S-rrnO-5S"	
"rsbRp"	"rsbRSTUVW-sigB-rsbX"	
"rsbVp"	"rsbVW-sigB-rsbX"	
"rtpAp"	"rtpA-ycbK"	
"sboAp"	"sboAX-albABCDEFG"	
"sdap"	"sda"	
"sdhCp"	"sdhCAB"	
"secGp"	"secG-yvaK-rnr-smpB-ssrA"	
"sigA-P1"		
"sigA-P2"		
"sigA-P3"		
"sigA-P4"		
"sigA-P5"	"yqxD-dnaG-sigA"	
"sigA-P6"		
"sigA-P7"	"yqxD-dnaG-sigA"	
"sigA-P8"	"antE"	
"sigI-S2"	"sigI-rsgI"	
"sigM-PA"	"sigM-yhdLK"	
"sigM-PM"	"sigM-yhdLK"	
"sinI-P1 (RNAI)"	"sinIR"	
"sinI-P2 (RNAII)"	"sinIR"	
"sinR-P3 (RNAIII)"		
"sipS-T5-1"		
"sipS-T5-2"	"sipS"	
"sipS-T6"	"sipS"	
"Site I"	"veg"	
"smpBp"	"smpB-ssrA"	
"splA-P1"	"splAB"	
"splB-P3"		
"spo0A-P2"	"spo0A"	
"spo0F-P2"	"spo0F"	
"spo0F-P2"	"spo0F"	
"spoIIQp"	"spoIIQ"	
"spoIVA-P1"	"spoIVA"	
"spoIVA-P2"	"spoIVA"	
"spoVAAp"	"spoVAABCDEBEAF"	
