M8J2-4	yozO	BSU19290
M8J2-46	mhqA	BSU12870
M8J2-46	ydfN	BSU05480
M8J2-46	aldY	BSU38830
M8J2-46	bmrU	BSU24000
M8J2-46	cdd	BSU25300
M8J2-46	csbB	BSU08600
M8J2-46	csbC	BSU39810
M8J2-46		
M8J2-4	yqeZ	BSU25390
M8J2-45	csbX	BSU27760
M8J2-45		
M8J2-45	ctsR	BSU00830
M8J2-45	gsiB	BSU04400
M8J2-45	gspA	BSU38430
M8J2-45	gtaB	BSU35670
M8J2-4	yqjL	BSU23830
M8J2-44	katX	BSU38630
M8J2-44	nadE	BSU03130
M8J2-44	relA	BSU27600
M8J2-44		
M8J2-44	trxA	BSU28500
M8J2-44	yacL	BSU00890
M8J2-44		
M8J2-44	ydaD	BSU04190
M8J2-4	yrhH	BSU27180
M8J2-43		
M8J2-43	ydaP	BSU04340
M8J2-43		
M8J2-43	ydaT	BSU04380
M8J2-43		
M8J2-43	ydbP	BSU04550
M8J2-43	ydfO	BSU05490
M8J2-43	ydhK	BSU05790
M8J2-43	yfhK	BSU08570
M8J2-43	yfkJ	BSU07880
M8J2-4	ysdB	BSU28830
M8J2-42	yflA	BSU07750
M8J2-42	yhdF	BSU09450
M8J2-42	yhdN	BSU09530
M8J2-42	nhaX	BSU09690
M8J2-42	yjgB	BSU12150
M8J2-42	ykgA	BSU13020
M8J2-42	ohrB	BSU13160
M8J2-42	yocK	BSU19240
M8J2-42	yotK	BSU19850
M8J2-4	ythP	BSU30010
M8J2-41	galM	BSU18360
M8J2-41	yoxC	BSU18510
M8J2-41		
M8J2-41	mgsR	BSU24770
M8J2-41	rsbRD	BSU24760
M8J2-41	yqhQ	BSU24490
M8J2-41	corA	BSU24740
M8J2-41	yrvD	BSU27630
M8J2-41	ysnF	BSU28340
M8J2-4	yuaF	BSU31020
M8J2-40	ytkL	BSU29410
M8J2-40	yvgO	BSU33410
M8J2-40	yvrE	BSU33200
M8J2-40	ywjC	BSU37210
M8J2-40	ywmE	BSU36720
M8J2-40	ywtG	BSU35830
M8J2-40		
M8J2-40	yxkO	BSU38720
M8J2-4	yvlA	BSU35130
M8J2-	ydfJ	BSU05430
M8J2-39	yycD	BSU40450
M8J2-39	cheV	BSU14010
M8J2-39	degR	BSU21940
M8J2-39	dltA	BSU38500
M8J2-39	flgB	BSU16180
M8J2-39	ipi	BSU11130
M8J2-39	lytD	BSU35780
M8J2-3	sasA	BSU38480
M8J2-38	lytF	BSU09370
M8J2-38	mcpC	BSU13950
M8J2-38	nfrA	BSU38110
M8J2-3		
M8J2-37	ybdO	BSU02050
M8J2-37	yfmT	BSU07350
M8J2-37	hemAT	BSU10380
M8J2-37	yjcP	BSU11940
M8J2-37	yjfB	BSU12120
M8J2-37	sivC	BSU15960
